Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun dia unparatodos semana feliz uncolombia conoce mas orgulloun video noche unimedios 
 126 participantes tres escritores finalistas iii premio biblioteca narrativa colombiana pbnc labelu; j : 129. Sim : -0.03686021; No similar. 
 rt cerosetenta carmen maura actriz espanola famosa participaciones cintas almodovar paso 070 labelu; j : 130. Sim : 0.19836278; No similar. 
 feliz noche comunidadun esperamos gran miercoles ahora vamos descansar somosun unparatodos  ; j : 131. Sim : 0.60952663; Baja. 
 dato segun instituto cervantes espanol hablado 567 millones personas mundo losperiodistasenunisaban; j : 132. Sim : 0.25361013; No similar. 
 rt hayfestivalesp canada llegan natasha kanape fontaine ingridbee eafit dentro hora haymedellin17 l; j : 133. Sim : 0.18388367; No similar. 
 rectores g8 apoyan medidas adoptadas udea solidarizan comunidad academica ver comunicado labelurl  ; j : 134. Sim : 0.098493956; No similar. 
 rt opcionhoy eafit realizara iii concierto temporada presentara venezolano williams naranjo fecha 9; j : 135. Sim : 0.44445705; No similar. 
 rt grupoargos hoy celebrando apoyo grupoargos centro estudios universidad eafit rodrigo botero labe; j : 136. Sim : 0.30529782; No similar. 
 mintieron pais infundieron miedo clase politica enganado pais defender si cv  ; j : 137. Sim : 0.26315692; No similar. 
 conferencia pasados ontologias alternativas estudio pasado 23 24 marzo mas informacion labelurl  ; j : 138. Sim : 0.41433492; No similar. 
 programateun esperamos bogota 21 oct viene despues habitat iii habitat3followup inscribete labelurl; j : 139. Sim : 0.2622182; No similar. 
 evasion cuesta casi 50 billones pesos pagan impuestos roban plata roba  ; j : 140. Sim : 0.10093167; No similar. 
 rt consejoech pasate viejo verde participa escenario creativo imaginarios visuales colectivos funda; j : 141. Sim : 0.13479753; No similar. 
 conoce mas cantaora guapi cauca video pacifico sur faustina orobio labelurl untelevision  ; j : 142. Sim : 0.41895846; No similar. 
 comienza presentacion libros cabos sueltos eduardo escobar pasos escorpion julio cesar  ; j : 143. Sim : 0.42408785; No similar. 
 inicia lapazenfoco hoy programa cultivos ilicitos propone acuerdo final control piensapazunal  ; j : 144. Sim : 0.20946732; No similar. 
 85 empleos perdidos eua consecuencia maquinas trump mas facil echarle culpa  ; j : 145. Sim : 0.27312222; No similar. 
 rt jrestrp dandole vida acuerdo academico cooperacion exclusiva fcardioinfantil urosarionews emcsur; j : 146. Sim : 0.2893659; No similar. 
 rt obsdemocracia obsdemocracia noticia latinoamerica portal infolatam anticipa resultados historico; j : 147. Sim : 0.30731493; No similar. 
 comunidadun terminar dia conoce mas 100 obras mas importantes pais orgulloun labelurl  ; j : 148. Sim : 0.6045734; Baja. 
 corrupcion mal insufrible entrevista alberto simpser doctor ciencia politica universidad stanford l; j : 149. Sim : 0.23658577; No similar. 
 gestion marca contexto digital articulo convenio pbsedueafit publicado palermo business revie  ; j : 150. Sim : 0.1942383; No similar. 
 programateun hoy visita dr thomas lovejoy enviado especial statedept temas ciencia labelurl  ; j : 151. Sim : 0.32856023; No similar. 
 lanzamiento centro mindfulness emcs sonia duran martinez gquinter alexander johannes streubel label; j : 152. Sim : 0.31026438; No similar. 
 terminar gran dia sintoniza programacion unradio labelurl 985unradio unradioweb feliz noche  ; j : 153. Sim : 0.5273846; Baja. 
 descarga aplicacion circularun enterate actividades eventos unparatodos disponible ios android  ; j : 154. Sim : 0.35889834; No similar. 
 feliznoche terminemos semana conociendo repositorio digital metacampusun labelurl feliz fin semana ; j : 155. Sim : 0.4815076; No similar. 
 felizmiercoles unparatodos comenzar gran dia noticias diariamente hacen sentir orgulloun labelurl  ; j : 156. Sim : 0.5582518; Baja. 
 comunidadun escucha unradio descargando nueva app disponible ios android 985unradio labelurl  ; j : 157. Sim : 0.32332024; No similar. 
 feliz noche comunidadun terminemos dia musica unparatodos video playback unmedellin labelurl  ; j : 158. Sim : 0.6703363; Media. 
 comunidadun feliznoche feliz fin semana proxima semana volvemos mas unparatodos labelurl  ; j : 159. Sim : 0.6885502; Media. 
 boletinun ver leer escuchar encuentras aqui labelurl untelevision unimedios 985unradio unparatodos ; j : 160. Sim : 0.39494663; No similar. 
 terminar lunes musica unradio emision web labelurl unradioweb feliz noche comunidadun  ; j : 161. Sim : 0.6636008; Baja. 
 buenos dias feliz comienzo semana felizlunes toda comunidadun acompana diariamente labelurl  ; j : 162. Sim : 0.6597544; Baja. 
 rt divcultural video datamatics ryoji ikeda 2011 museodearteun labelurl comisionada producida uncol; j : 163. Sim : 0.3622357; No similar. 
 comunidadun deseamos gran semana comencemos dia informacion unparatodos labelurl unimedios felizlun; j : 164. Sim : 0.6763893; Media. 
 comunidadun conode informacion ver leer escuchar boletinun labelurl unimedios 985unradio untelevisi; j : 165. Sim : 0.37981507; No similar. 
 comencemos dia informacion ver leer escuchar boletinun labelurl unimedios 985unradio untelevision  ; j : 166. Sim : 0.4345661; No similar. 
 felizlunes feliz comienzo semana toda comunidadun gracias acompanarnos diariamente somosun  ; j : 167. Sim : 0.5500148; Baja. 
 felizjueves comenzamos dia informacion unparatodos ver leer escuchar boletinun labelurl unimedios  ; j : 168. Sim : 0.474089; No similar. 
 terminar dia informacion ver leer escuchar labelurl boletinun unimedios 985unradio untelevision  ; j : 169. Sim : 0.43433043; No similar. 
 feliz comienzo semana comunidadun gran lunes informacion unparatodos labelurl unimedios somosun  ; j : 170. Sim : 0.74840605; Media. 
 terminar gran dia dejamos unradio programacion cultural musical unparatodos labelurl 985unradio  ; j : 171. Sim : 0.342151; No similar. 
 comunidadun conoce informacion unparatodos ver leer escuchar labelurl unimedios 985unradio untelevi; j : 172. Sim : 0.45873776; No similar. 
 comunidadun eventos actividades academicas culturales uncolombia estan aqui labelurl circularun unp; j : 173. Sim : 0.38914302; No similar. 
 terminar dia recuerda tambien youtube video labelurl feliz noche comunidadun unparatodos  ; j : 174. Sim : 0.73121536; Media. 
 termina jueves conciertos audiciones queremos ver labelurl metacampusun feliz noche somosun  ; j : 175. Sim : 0.492961; No similar. 
 comunidadun nueva edicion boletinun ver leer escuchar labelurl unimedios 985unradio untelevision  ; j : 176. Sim : 0.40890047; No similar. 
 terminar dia recuerda tambien youtube video labelurl feliz noche comunidadun unparatodos  ; j : 177. Sim : 0.73121536; Media. 
 encuentra nueva edicion boletinun ver leer escuchar labelurl unimedios 985unradio untelevision  ; j : 178. Sim : 0.36541754; No similar. 
 comunidadun visitaste exposicion museodearteun conoce mas aqui labelurl video divcultural unbogota ; j : 179. Sim : 0.54537344; Baja. 
 comunidadun noticias ver leer escuchar estan boletinun labelurl unimedios 985unradio untelevision  ; j : 180. Sim : 0.42776453; No similar. 
 comunidadun comenzamos dia videos musicaun programa playback labelurl feliz viernes unparatodos  ; j : 181. Sim : 0.634286; Baja. 
 terminar viernes tener gran fin semana programateun actividades culturales unparatodos labelurl  ; j : 182. Sim : 0.47941023; No similar. 
 conoce nueva edicion boletinun ver leer escuchar labelurl unimedios 98unradio untelevision  ; j : 183. Sim : 0.41482812; No similar. 
 comunidadun comienza dia informacion ver leer escuchar labelurl unimedios 985unradio untelevision  ; j : 184. Sim : 0.5240334; Baja. 
 comunidadun nueva edicion boletinun llega informacion unparatodos ver leer escuchar labelurl  ; j : 185. Sim : 0.41862997; No similar. 
 comunidaun nueva coleccion tiendaun disponible visita filbo2017 fin semana conocela labelurl  ; j : 186. Sim : 0.40298393; No similar. 
 comunidadun nueva edicion boletinun puedas ver leer escuchar informacion uncolombia labelurl  ; j : 187. Sim : 0.4573561; No similar. 
 comenzamos dia videos musicaun programa playback untelevision labelurl feliz miercoles comunidadun ; j : 188. Sim : 0.60574824; Baja. 
 terminar dia fotogaleria arte microtrafico exposicionun humanasunal labelurl unimedios feliz noche ; j : 189. Sim : 0.5330326; Baja. 
 encuentra nueva edicion boletinun informacion ver leer escuchar trae unimedios labelurl  ; j : 190. Sim : 0.41685194; No similar. 
 comunidadun sabias estadisticos matematicos celebran hoy dia clasico feliz dia labelurl  ; j : 191. Sim : 0.5971303; Baja. 
 comunidadun recuerda descargar aplicacion circularun conocer mas eventos actividades unparatodos  ; j : 192. Sim : 0.3573766; No similar. 
 comunidadun comencemos dia articulos trae nueva edicion unperiodico labelurl feliz jueves  ; j : 193. Sim : 0.61307794; Baja. 
 felizmiercoles comencemos gran dia videos hacen parte repositorio digital metacampusun labelurl  ; j : 194. Sim : 0.34805077; No similar. 
 boletinun encuentras informacion inter ver leer escuchar unimedios 985unradio untelevision labelurl; j : 195. Sim : 0.37579003; No similar. 
