Modulo nnlm-es-dim128-with-normalization-2
Topicos : via noticiaun unisabana unimedios comsabana colombia uniandes mas orgulloun estudiantes 2016 
 torre seneca 628 cupos 243 apartamentos inicio funcionamiento cuenta primeros habitante labelurl  ; j : 172. Sim : 0.08344338; No similar. 
 dia mundial tabaco 2017 cada ano cigarrillo deja siete millones muertes labelurl labelurl  ; j : 173. Sim : 0.16986042; No similar. 
 rt jeronimorivera peliculas animacion jovenes ninos mas alla disney pixar labelurl texto hoy  ; j : 174. Sim : 0.477828; No similar. 
 guerrillero va ser sancionado juzgado investigado juan carlos henao uexternado elretodelajep  ; j : 175. Sim : 0.054282855; No similar. 
 libro tecnicas cocina colombiana galardonado mejor libro cocina mundial labelurl via eltiempo  ; j : 176. Sim : 0.19965813; No similar. 
 torre seneca 628 cupos 243 apartamentos inicio funcionamiento cuenta primeros habitante labelurl  ; j : 177. Sim : 0.08344338; No similar. 
 articulo unperiodico especial san andres tres anos fallo problematico labelurl uncaribe unimedios  ; j : 178. Sim : 0.37952372; No similar. 
 rt hernanolano ponencia lista presentada unisabana derechousabana lasabanaabroad obduliovp elnuevos; j : 179. Sim : 0.18851013; No similar. 
 analistas representantes gobierno eeuu hablaron uniandes enfoque trump hacia medio oriente labelurl; j : 180. Sim : 0.19318181; No similar. 
 paris estudiantes eicea summer program fashion business ieseg school of management labelurl  ; j : 181. Sim : 0.25752753; No similar. 
 rt hernanolano leyendo elnuevosiglo trenusabana unisabana derechousabana obduliovp apgguzman gracia; j : 182. Sim : 0.3087655; No similar. 
 noticiaun disenan sistema palmira vuelva ser ciudad bicicletas unpalmira labelurl via unimedios  ; j : 183. Sim : 0.4649342; No similar. 
 rumbo espana karen campos enfermeria zeury gelves fisioterapia ganaron beca santander labelurl  ; j : 184. Sim : 0.34677583; No similar. 
 educacion voz alta tiempo implementar grado 12 mantillaignacio unimedios labelurl via elespectador ; j : 185. Sim : 0.52402043; Baja. 
 hernanolano olviden inscripcion materias manana unisabana derechousabana cpoliticasus usingenieria ; j : 186. Sim : 0.46405226; No similar. 
 rt oaduniandes ayeryhoy vista bloque b pabellon antigua carcel buen pastor uniandes throwbackthursd; j : 187. Sim : 0.31263596; No similar. 
 unisabana unica universidad colombiana listado qs universidades menores 50 anos jrrodriguezgil labe; j : 188. Sim : 0.46630916; No similar. 
 jrrodriguezgil trabaje varias oportunidades rubiodave graduado unisabana consta altisima calidad pr; j : 189. Sim : 0.19139847; No similar. 
 sabor pais filbo2017 mano chef carlos gaviria autor tecnicas profesionales coci labelurl  ; j : 190. Sim : 0.2665137; No similar. 
 constitucion 91 vemos hoy gente pudo retomar espacio politico clara atehortua labelurl  ; j : 191. Sim : 0.2424597; No similar. 
 rt usembassybogota agregado militar eeuu colombia agradece apoyo estudiantes universidades mision p; j : 192. Sim : 0.41566613; No similar. 
 rt donjuancampo buena celebracion unisabanaradio 8 anos muestran camino solido futuro unisabana com; j : 193. Sim : 0.466904; No similar. 
 nicolas calderon estudiante comsabana listo vivir grammylatino hace parte claraluna nominado labelu; j : 194. Sim : 0.29632846; No similar. 
 rt culturauniandes alosandesenbici concierto trio jazz triciclo sala ernesto martin hoy 100pm label; j : 195. Sim : 0.12415972; No similar. 
 manana auditorio fundadores sinfonicaeafit tendra v concierto temporada 2017 mass in blue l labelur; j : 196. Sim : 0.25900888; No similar. 
 rt usembassybogota equipo ccykcolombia listo mas 10 mil asistentes educacion superior nafsa16 label; j : 197. Sim : 0.4069167; No similar. 
 2015 2016 disminucion inversion vivienda pasando 24 16 2016 piedad retrepo labelurl  ; j : 198. Sim : 0.47440046; No similar. 
 rt unimedios jose felix patino medico educacion labelurl via elespectador unimedios uncolombia unal; j : 199. Sim : 0.51076037; Baja. 
 rt innpulsacol hoy uniandes conociendo exito transferencia tecnologia proyecto phycore apoyado innp; j : 200. Sim : 0.23175357; No similar. 
 comunidad tarde viernes vamos tras huellas virginia gutierrez pineda labelurl via elespectador  ; j : 201. Sim : 0.3794815; No similar. 
 puedan ayudar transformar procesos educacion jovenes deben ser parte compromiso andre labelurl  ; j : 202. Sim : 0.22487576; No similar. 
 noticiaun aplicacion anular filas supermercados idea innovadora premiada uninnova vriun unmedellin ; j : 203. Sim : 0.30860654; No similar. 
 rt cerosetenta plan semana tranquilo aca estan los5de070 labelurl cc uniandes indiebogota armandore; j : 204. Sim : 0.3787532; No similar. 
 rt comsabana cinefilia quinto libro jeronimorivera hoy presenta cinetonalabog hoy promocion cuesta ; j : 205. Sim : 0.17789853; No similar. 
 rt oaduniandes ayeryhoy bloque rgc actualmente facultad biblioteca derecho uniandes throwbackthursd; j : 206. Sim : 0.31260768; No similar. 
 rt hernanolano facultad cumple 5 anos gracias equipo profesores colaboradores unisabana unisabanara; j : 207. Sim : 0.40945175; No similar. 
 modo mision sabana contamos ayuda puedes llevar donacion edificio dejarla secr labelurl  ; j : 208. Sim : 0.2310643; No similar. 
 nacional mejor universidad colombia segun rank qs labelurl mantillaignacio mineducacion via eltiemp; j : 209. Sim : 0.44849488; No similar. 
 noticiaun viviendas espacio publico activan entorno estacion metro labelurl via unimedios territori; j : 210. Sim : 0.40486676; No similar. 
 si genera empleo vamos ser capaces pais reducir pobreza brucemacmaster andicolombia labelurl  ; j : 211. Sim : 0.17703013; No similar. 
