Modulo nnlm-es-dim128-with-normalization-2
Topicos : unisabana comsabana hoy uniandes colombia via pm estudiantes mas 2016 noticiaun anos 
 rt oaduniandes ayeryhoy prado san alberto magno importante punto encuentro uniandes throwbackthursd; j : 179. Sim : 0.31529927; No similar. 
 rt consejoech asi vive urfestival2016 ritmo 33 urosarionews urosarioradio csuperioreur jrestrp dmuu; j : 180. Sim : 0.20536137; No similar. 
 deportista laura sofia agudelo logro medalla oro distrital mayores bogota conoce mas labelurl  ; j : 181. Sim : 0.25860077; No similar. 
 rt chechecifuentes almorzando yarumal tierra natal ilustre octavio arismendi qepd ex gobantioquia f; j : 182. Sim : 0.24364954; No similar. 
 obdulio habla revistasemana serpilopaga mas palo programa ser pilo paga labelurl educacion colombia; j : 183. Sim : 0.33193058; No similar. 
 joseconde96 si desea puede enviarnos datos contacto traves mensaje directo hacer seguimiento labelu; j : 184. Sim : 0.107520886; No similar. 
 rt biblioeafit hoy truequeliterarioeafit haremos enfasis proposito hacer cada dia leamos mas univer; j : 185. Sim : 0.38161233; No similar. 
 rt inguniandes manana 21 abril tres grandes conferencias nuevas tecnologias semanasistemasieee 2016; j : 186. Sim : 0.5269719; Baja. 
 rt aspromer gran congreso mercadeo logistica unisabana felicitaciones 10 anos amli aspromer celebra; j : 187. Sim : 0.49518475; No similar. 
 rt hectorabadf volver biblioeafit eafit sentirse acompanado libros estudiantes arboles orquideas es; j : 188. Sim : 0.32789874; No similar. 
 conflicto armado colombia dejado 25 millones ninos victimas estudio unisabana via elpaiscali labelu; j : 189. Sim : 0.49918765; No similar. 
 alejandra solarte universidad cauca obtuvo segundo lugar pedro juan vallejo pelaez eafit labelurl  ; j : 190. Sim : 0.28282005; No similar. 
 colombomedellin hoy primer dia programa liderazgo kyb eafit 6 jovenes nashville aprenden empoderami; j : 191. Sim : 0.3793368; No similar. 
 acerca dia internacional danza eafit celebracion sera 28 abril partir 300 pm labelurl  ; j : 192. Sim : 0.42659366; No similar. 
 comsabana cada monitor vemos posible futuro profesor apgguzman ahora ceremonia monitor unisabana  ; j : 193. Sim : 0.276055; No similar. 
 orgulloun do paisas primeras colombianas nado sincronizado rio2016 labelurl unmedellin udea via elt; j : 194. Sim : 0.36683476; No similar. 
 estudiantes 10 11 12 pierdan manana oportunidad vivir experiencia eafit mas informacion labelurl  ; j : 195. Sim : 0.56951094; Baja. 
 estan invitados 10 12 octubre foro ciudades bajas carbono mas informacion programa labelurl  ; j : 196. Sim : 0.43612888; No similar. 
 rt vocesrcn va haber ligero deterioro materia empleo 2017 incremento tasa desempleo viend  ; j : 197. Sim : -0.0708435; No similar. 
 rt teleantioquia noche tanoticias konico restaurante experiencias gastronomicas provenza laureles e; j : 198. Sim : 0.40115237; No similar. 
 rt katarod campesinos sumapaz contando dia dia retos dialogando construyendo pais diapaiz unia  ; j : 199. Sim : 0.49794647; No similar. 
 manana foro ciudades bajas carbono creando soluciones colectivas estan invitados mas informacion la; j : 200. Sim : 0.4422076; No similar. 
 rt inguniandes casos exitosos implant corazon artificial viii sem ingenieria biomedica bio uniandes; j : 201. Sim : 0.3188613; No similar. 
 departamento lenguas culturas extranjeras gana segunda vez premio mejor proyecto uso tecnologia lab; j : 202. Sim : 0.18460852; No similar. 
 manana voyentren nueva parada novena calle 147 607 be movilidad bogota trenusabana labelurl  ; j : 203. Sim : 0.31769577; No similar. 
 comsabana atentos recibimos inquietudes dudas elaboracion horarios traves dm mayor informacion unis; j : 204. Sim : 0.46934763; No similar. 
 trabaje gratis vender bus siento orgulloso haber sido presidente junta itdp enriquepenalosa  ; j : 205. Sim : 0.04770972; No similar. 
 rt jrestrp extraordinario nuevo consejero hernando sanchez sanchez abogado urosarionews destacado j; j : 206. Sim : 0.02180485; No similar. 
 rt economiauandes fotos hackathon desarrollo soluciones cognitivas datos abiertos gobierno dnpcolom; j : 207. Sim : 0.18478651; No similar. 
 ciudadanos estan invitados formar parte nuevo proyecto ley incentivar uso vehiculos electrico  ; j : 208. Sim : 0.29313675; No similar. 
 hoyeneafit auditorio fundadores recibe sinfonicaeafit v concierto temporada 2017 mass in blu labelu; j : 209. Sim : 0.28904536; No similar. 
 rt unisabanaradio asi desarrollo lanzamiento tecnicas profesionales cocina colombiana chef carlos g; j : 210. Sim : 0.3295151; No similar. 
 rt politicaur medida acabe conflicto armado va subir demanda social claudialopez politicaur urosari; j : 211. Sim : 0.12188704; No similar. 
