Modulo nnlm-es-dim128-with-normalization-2
Topicos : via noticiaun unisabana unimedios comsabana colombia uniandes mas orgulloun estudiantes 2016 hoy anos 
 invertir quieroestudiar inversion mayor retorno andres morales socio sublat franquicia subway label; j : 140. Sim : 0.24919169; No similar. 
 rt inguniandes directo periscope daniel cadena luisguzman corredores 5to lugar carrerademodossemana; j : 141. Sim : 0.4009436; No similar. 
 rt oaduniandes recordando ayeryhoy edificio mccarthy bloque j vista departamento matematicas cienbi; j : 142. Sim : 0.32255217; No similar. 
 rt hernanolano felicidades unisabana 37 anos comsabana derechousabana trenusabana alumnisabana clin; j : 143. Sim : 0.44314206; No similar. 
 pregunta parece justificable subirle tarifa tm 10 sitp 17 minimo subio 7  ; j : 144. Sim : 0.14126879; No similar. 
 noticiaun unmanizales disenan brasier electronico deteccion cancer mama labelurl orgulloun via unim; j : 145. Sim : 0.6055564; Baja. 
 estudiantes usingenieria construyen carro electrico amigable medio ambiente proximo destino detroit; j : 146. Sim : 0.35022143; No similar. 
 rt hernanolano hace minuto salimos itinerario trenusabana trensuburbano unisabana derechousabana tu; j : 147. Sim : 0.2130665; No similar. 
 cine lomejordelano mejores peliculas 2016 segun blog tiempo cine jeronimorivera recomendado  ; j : 148. Sim : 0.34498036; No similar. 
 noticiaun reserva van der hammen valiosa joya ambiental gonzaloandradec labelurl via unimedios  ; j : 149. Sim : 0.22703205; No similar. 
 noticiaun manizales red bibliotecas amplia inventario nuevas publicaciones unmanizales labelurl via; j : 150. Sim : 0.42494702; No similar. 
 rt oaduniandes ultimo ayeryhoy ano capilla campito san jose throwbackthursday tbt felizjueves label; j : 151. Sim : 0.38282484; No similar. 
 felices equipo usingenieria supera 10 pruebas tecnicas clasifica pruebas pista colombia labelurl  ; j : 152. Sim : 0.22046158; No similar. 
 felicitaciones paula andrea roa sanchez geraldine bustos zamora dissertum revistavirtual estudiante; j : 153. Sim : 0.43407235; No similar. 
 hace 10 anos impensables alcances videojuego comunidad global jaime h borja mediosdigitalesur  ; j : 154. Sim : 0.38827035; No similar. 
 rt usembassybogota promesacontinua2017 realizara trabajo humanitario proveera cuidado medico dental; j : 155. Sim : 0.15955259; No similar. 
 felizmiercoles ten cuenta utilizar funciones ahorro tinta vayas imprimir ahorraun conectate labelur; j : 156. Sim : 0.22730519; No similar. 
 subsidiando sistema tm sitp mas 700 mil millones pesos ano enriquepenalosa  ; j : 157. Sim : 0.30655938; No similar. 
 ocho vehiculos fabricados estudiantes ingenieria mecanica competiran segundo grand prix sabana labe; j : 158. Sim : 0.37589502; No similar. 
 rt discuniandes orgullo uniandino articulo seleccionado best paper cibse 2017 inguniandes uniandes ; j : 159. Sim : 0.2078847; No similar. 
 rt mineducacion nochedelosmejores 16 estudiantes bogota 14 estudiantes cali 4 floridablanca mejores; j : 160. Sim : 0.45393077; No similar. 
 rt oaduniandes bloque ayeryhoy hogar hermanas buen pastor hoy cienbiolandes uniandes throwbackthurs; j : 161. Sim : 0.3199438; No similar. 
 rt monsieurjournal sabana universidad privada mejor reputacion colombia segun rank merco 2016 label; j : 162. Sim : 0.54942447; Baja. 
 rt serpilopaga dudas programa serpilopaga mineducacion dispuesto do lineas telefonicas resuelvas ht; j : 163. Sim : 0.31255662; No similar. 
 15 aplicaciones moviles indispensables volver clase lista recomendada unisabana via revistadinero l; j : 164. Sim : 0.3250996; No similar. 
 rt usingenieria hoy detroit estudiantes visitan thehenryford asisten conferencias automatizacion en; j : 165. Sim : 0.33221802; No similar. 
 rt uocpsicoedu revista ethe editada uoc uniandes referente mundial educacion labelurl cc uocunivers; j : 166. Sim : 0.276771; No similar. 
 dona libro nino casanare 3 6 abril porterias ml franco sd solidaridad organiza labelurl  ; j : 167. Sim : 0.30343437; No similar. 
 dia mundial tabaco 2017 cigarrillo adiccion deja cada ano 7 millones muertes labelurl  ; j : 168. Sim : 0.30603793; No similar. 
 rt unisabanaradio empieza hacer literatura ficcion naufragar intento historia galeon nelson f pad  ; j : 169. Sim : 0.22785202; No similar. 
 carlos gaviria profesor gastronomia eicea presenta libro tecnicas profesionales cocina colombiana l; j : 170. Sim : 0.31611362; No similar. 
 rt oaduniandes ayeryhoy talleres arquituniandes vista capilla actualmente biblioteca arq throwbackt; j : 171. Sim : 0.37340403; No similar. 
 torre seneca 628 cupos 243 apartamentos inicio funcionamiento cuenta primeros habitante labelurl  ; j : 172. Sim : 0.11156394; No similar. 
 dia mundial tabaco 2017 cada ano cigarrillo deja siete millones muertes labelurl labelurl  ; j : 173. Sim : 0.25803265; No similar. 
 rt jeronimorivera peliculas animacion jovenes ninos mas alla disney pixar labelurl texto hoy  ; j : 174. Sim : 0.54197526; Baja. 
 guerrillero va ser sancionado juzgado investigado juan carlos henao uexternado elretodelajep  ; j : 175. Sim : 0.10940745; No similar. 
 libro tecnicas cocina colombiana galardonado mejor libro cocina mundial labelurl via eltiempo  ; j : 176. Sim : 0.22687832; No similar. 
 torre seneca 628 cupos 243 apartamentos inicio funcionamiento cuenta primeros habitante labelurl  ; j : 177. Sim : 0.11156394; No similar. 
 articulo unperiodico especial san andres tres anos fallo problematico labelurl uncaribe unimedios  ; j : 178. Sim : 0.46817943; No similar. 
 rt hernanolano ponencia lista presentada unisabana derechousabana lasabanaabroad obduliovp elnuevos; j : 179. Sim : 0.18033046; No similar. 
 analistas representantes gobierno eeuu hablaron uniandes enfoque trump hacia medio oriente labelurl; j : 180. Sim : 0.20545425; No similar. 
 paris estudiantes eicea summer program fashion business ieseg school of management labelurl  ; j : 181. Sim : 0.2568704; No similar. 
 rt hernanolano leyendo elnuevosiglo trenusabana unisabana derechousabana obduliovp apgguzman gracia; j : 182. Sim : 0.29147965; No similar. 
 noticiaun disenan sistema palmira vuelva ser ciudad bicicletas unpalmira labelurl via unimedios  ; j : 183. Sim : 0.450225; No similar. 
 rumbo espana karen campos enfermeria zeury gelves fisioterapia ganaron beca santander labelurl  ; j : 184. Sim : 0.37376106; No similar. 
 educacion voz alta tiempo implementar grado 12 mantillaignacio unimedios labelurl via elespectador ; j : 185. Sim : 0.52855; Baja. 
 hernanolano olviden inscripcion materias manana unisabana derechousabana cpoliticasus usingenieria ; j : 186. Sim : 0.49879298; No similar. 
 rt oaduniandes ayeryhoy vista bloque b pabellon antigua carcel buen pastor uniandes throwbackthursd; j : 187. Sim : 0.31136352; No similar. 
 unisabana unica universidad colombiana listado qs universidades menores 50 anos jrrodriguezgil labe; j : 188. Sim : 0.50600964; Baja. 
 jrrodriguezgil trabaje varias oportunidades rubiodave graduado unisabana consta altisima calidad pr; j : 189. Sim : 0.20592697; No similar. 
 sabor pais filbo2017 mano chef carlos gaviria autor tecnicas profesionales coci labelurl  ; j : 190. Sim : 0.28208074; No similar. 
 constitucion 91 vemos hoy gente pudo retomar espacio politico clara atehortua labelurl  ; j : 191. Sim : 0.3371015; No similar. 
 rt usembassybogota agregado militar eeuu colombia agradece apoyo estudiantes universidades mision p; j : 192. Sim : 0.4208201; No similar. 
