Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa trabajadores uso hoy colombia pais anos presidente economicos ecopetrol indicadores palmaedwin 
 minminas usofrenteobrero mafsul ecopetrolsa hoy reunion basada dialogo respeto oportunidades futur ; j : 188. Sim : 0.45254007; No similar. 
 bcavirtual bcavirtual tragedia ambiental fortuna declaran situacion calamidad publica desecheverry ; j : 189. Sim : 0.27177823; No similar. 
 juancar45074794 usofrenteobrero asi ecopetrolsa refineria barranca atiende conflicto laboral fusil ; j : 190. Sim : 0.41491067; No similar. 
 bcavirtual bcavirtual uso explica va proceso negociacion convencion ecopetrol palmaedwin usofrenteo; j : 191. Sim : 0.4727755; No similar. 
 presidente unidos donald trump anuncio ayer decision retirarse acuerdo nuclear iran labelurl  ; j : 192. Sim : 0.35175937; No similar. 
 union sindical obrera uso rechaza actitud arbitraria asumida empresa telecomunicaciones bogota labe; j : 193. Sim : 0.36965284; No similar. 
 claucarizas jerobledo usofrenteobrero pide vendan parece suficiente pusieran filial automaticamente; j : 194. Sim : 0.28749225; No similar. 
 palmaedwin usofrenteobrero expresa solidaridad companeros soyanebre decidido negociar despues 20 an; j : 195. Sim : 0.54027903; Baja. 
 alapepastorfarc ecopetrol mayor empresa pais importante activo nacion patrimonio publico colombiano; j : 196. Sim : 0.64631534; Baja. 
 filirojas21 aqui paisano crack atletismo momento gran jeissonsubo libano figura equipoporven  ; j : 197. Sim : 0.33520117; No similar. 
 hoy vence plazo avvillas bancosaval llame negociar pliego peticiones trabajadores orgsindicales  ; j : 198. Sim : 0.18898804; No similar. 
 filirojas21 aqui paisano crack atletismo momento gran jeissonsubo libano figura equipoporven  ; j : 199. Sim : 0.33520117; No similar. 
 jorgeajurado ecopetrolsa empresa mas importante colombia debe seguir siendo colombianos debe entreg; j : 200. Sim : 0.46098816; No similar. 
 donald trump dijo paralizacion parcial gobierno federal iba prolongarse cumpla demand labelurl  ; j : 201. Sim : 0.24292053; No similar. 
 sandinovictoria hacemos reconocimiento sincero lucha historica usofrenteobrero defensa patrimonio p; j : 202. Sim : 0.37243554; No similar. 
 dirigentes uso permiso sindical asisten recorridos puestos centro dias martes mierc labelurl  ; j : 203. Sim : 0.3378332; No similar. 
 sandraa42862953 juanmansantos estimada senora carmen amado nregistre hoja vida consulte frecuenteme; j : 204. Sim : 0.29138654; No similar. 
 cutcolombia reunion cutcolombia ministerio trabajo canadiense hablar plan accion laboral cuanto  ; j : 205. Sim : 0.41435182; No similar. 
 aprende romper paradigmas cambiar modelo pensamiento introducir nuevas formas hacer cosas labelurl ; j : 206. Sim : 0.07824601; No similar. 
