Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa pais trabajadores hoy colombia economicos indicadores uso bancorepublica datos presidente tarde 
 harrys0521 turno 12 horas refineria quiere imponer ecopetrolsa violando convencion pactada usofrent; j : 140. Sim : 0.3232841; No similar. 
 entregando obsequios elaborados galletas dulces velas tambien gran alternativa paraahorrar dinero n; j : 141. Sim : 0.19157313; No similar. 
 motaloraa jerobledo reficar debe poner funcionamiento unidad antigua crudo hoy puede procesar label; j : 142. Sim : 0.19052464; No similar. 
 enscolombia noche despues 40 horas negociacion usofrenteobrero consiguio firmar nueva convencion co; j : 143. Sim : 0.50709814; Baja. 
 semana pasada empresa lupatech decidio despedir justa causa companero wilson calderon aun f labelur; j : 144. Sim : 0.38728786; No similar. 
 usocasabe dia hoy acompanamos trabajadores contraincendio campo casabe atendiendo conflicto laboral; j : 145. Sim : 0.47871956; No similar. 
 hoy dimos inicio negociacion empresa omia buscamos acordar garantias continuamos manana 9am labelur; j : 146. Sim : 0.5044806; Baja. 
 wquimbayc soyanebre saluda celebra cumpleanos numero 96 organizacion hermana usofrenteobrero espera; j : 147. Sim : 0.29398134; No similar. 
 jorgeajurado tiempo disparan balas dirigentes carbon apoyaron colombia humana formulan cargos disci; j : 148. Sim : 0.33235422; No similar. 
 wquimbayc soyanebre saluda celebra cumpleanos numero 96 organizacion hermana usofrenteobrero espera; j : 149. Sim : 0.29398134; No similar. 
 termino semana llego momento planear fin semana familia recarguemonos buena energia siempresepuede ; j : 150. Sim : 0.40457344; No similar. 
 trabajodecente noticias ail nsegun usofrenteobrero acuerdo 01 1977 permitido ecopetrolsa desestimul; j : 151. Sim : 0.43829465; No similar. 
 termino semana llego momento planear fin semana familia recarguemonos buena energia siempresepuede ; j : 152. Sim : 0.40457344; No similar. 
 enscolombia noticias ail nsegun usofrenteobrero acuerdo 01 1977 permitido ecopetrolsa desestimular ; j : 153. Sim : 0.32918063; No similar. 
 lozadaosmin usofrenteobrero ecopetrolsa presidente solo respaldar sino tener solidaridad unidad luc; j : 154. Sim : 0.23339877; No similar. 
 juankotico porvenir cumplio 20 anos impulsando atletismo colombiano parte aniversario compania pres; j : 155. Sim : 0.44336072; No similar. 
