Modulo nnlm-es-dim128-with-normalization-2
Topicos : unisabana comsabana hoy uniandes colombia via pm estudiantes mas 2016 noticiaun anos concierto 
 rt economiauandes fotos hackathon desarrollo soluciones cognitivas datos abiertos gobierno dnpcolom; j : 207. Sim : 0.17631711; No similar. 
 ciudadanos estan invitados formar parte nuevo proyecto ley incentivar uso vehiculos electrico  ; j : 208. Sim : 0.3131735; No similar. 
 hoyeneafit auditorio fundadores recibe sinfonicaeafit v concierto temporada 2017 mass in blu labelu; j : 209. Sim : 0.36864161; No similar. 
 rt unisabanaradio asi desarrollo lanzamiento tecnicas profesionales cocina colombiana chef carlos g; j : 210. Sim : 0.32832518; No similar. 
 rt politicaur medida acabe conflicto armado va subir demanda social claudialopez politicaur urosari; j : 211. Sim : 0.111471154; No similar. 
 rt uniandinosiempr colombia necesitamos liderazgo servicio oportunidad contribuir hoy frank pearl i; j : 212. Sim : 0.3245121; No similar. 
 invertir quieroestudiar inversion mayor retorno andres morales socio sublat franquicia subway label; j : 213. Sim : 0.25889176; No similar. 
 rt deportessabana voleibol masculino clasifica finales cerros girardot comsabana bienestarsabana ei; j : 214. Sim : 0.28718778; No similar. 
 rt oaduniandes recordando ayeryhoy edificio mccarthy bloque j vista departamento matematicas cienbi; j : 215. Sim : 0.28627133; No similar. 
 hoyeneafit auditorio fundadores recibe sinfonicaeafit iv concierto temporada 2017 cuatro estaciones; j : 216. Sim : 0.29040298; No similar. 
 rt comsabana alguno comaudiovisual comsocial estrenara hoy trenusabana camino unisabana faltan 2 ho; j : 217. Sim : 0.40447253; No similar. 
 rt discuniandes orgullo uniandino articulo seleccionado best paper cibse 2017 inguniandes uniandes ; j : 218. Sim : 0.19104801; No similar. 
 rt inguniandes directo periscope daniel cadena luisguzman corredores 5to lugar carrerademodossemana; j : 219. Sim : 0.37656605; No similar. 
