Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun dia unparatodos semana feliz uncolombia conoce mas orgulloun video 
 conoce nueva edicion boletinun ver leer escuchar labelurl unimedios 98unradio untelevision  ; j : 183. Sim : 0.38293186; No similar. 
 comunidadun comienza dia informacion ver leer escuchar labelurl unimedios 985unradio untelevision  ; j : 184. Sim : 0.4791857; No similar. 
 comunidadun nueva edicion boletinun llega informacion unparatodos ver leer escuchar labelurl  ; j : 185. Sim : 0.46819362; No similar. 
 comunidaun nueva coleccion tiendaun disponible visita filbo2017 fin semana conocela labelurl  ; j : 186. Sim : 0.38863498; No similar. 
 comunidadun nueva edicion boletinun puedas ver leer escuchar informacion uncolombia labelurl  ; j : 187. Sim : 0.5155581; Baja. 
 comenzamos dia videos musicaun programa playback untelevision labelurl feliz miercoles comunidadun ; j : 188. Sim : 0.586185; Baja. 
 terminar dia fotogaleria arte microtrafico exposicionun humanasunal labelurl unimedios feliz noche ; j : 189. Sim : 0.38554412; No similar. 
 encuentra nueva edicion boletinun informacion ver leer escuchar trae unimedios labelurl  ; j : 190. Sim : 0.38437763; No similar. 
 comunidadun sabias estadisticos matematicos celebran hoy dia clasico feliz dia labelurl  ; j : 191. Sim : 0.5816381; Baja. 
 comunidadun recuerda descargar aplicacion circularun conocer mas eventos actividades unparatodos  ; j : 192. Sim : 0.44034076; No similar. 
 comunidadun comencemos dia articulos trae nueva edicion unperiodico labelurl feliz jueves  ; j : 193. Sim : 0.63124204; Baja. 
 felizmiercoles comencemos gran dia videos hacen parte repositorio digital metacampusun labelurl  ; j : 194. Sim : 0.3875133; No similar. 
 boletinun encuentras informacion inter ver leer escuchar unimedios 985unradio untelevision labelurl; j : 195. Sim : 0.31786564; No similar. 
 santycadavidd buenos dias lamentamos sucedido lista publicara hoy final dia labelurl  ; j : 196. Sim : 0.50167555; Baja. 
 comunidadun terminaron viernes esperamos gran dia mejor fin semana unparatodos  ; j : 197. Sim : 0.57938194; Baja. 
 felizlunes comenzamos dia celebrando fotografos camarografos hacen ver vida mejor labelurl  ; j : 198. Sim : 0.38957947; No similar. 
 terminar dia invitamos descargar nueva edicion unperiodico labelurl feliz noche comunidadun  ; j : 199. Sim : 0.56938976; Baja. 
 hombres dia dia desempenan diferentes roles comunidadun feliz dia hombre labelurl  ; j : 200. Sim : 0.5256069; Baja. 
 comunidadun terminar jueves conoce agenda actividades trae circularun labelurl feliz noche  ; j : 201. Sim : 0.5322656; Baja. 
 buenos dias comunidadun bienvenidos nuevo dia uncolombia deseamos felizjueves unparatodos  ; j : 202. Sim : 0.6469599; Baja. 
 feliznoche toda comunidadun diariamente acompana rede sociales gracias unparatodos somosun  ; j : 203. Sim : 0.4175657; No similar. 
 hoy comenzamos dia videos musicaun programa playback labelurl feliz miercoles comunidadun  ; j : 204. Sim : 0.5955094; Baja. 
 encuentra info universidad boletinun ver leer escuchar labelurl unimedios 985unradio untelevision  ; j : 205. Sim : 0.25179976; No similar. 
 comunidadun perdiste rendicion cuentas 2015 uncolombia encuentra video aqui labelurl launcuenta  ; j : 206. Sim : 0.5787041; Baja. 
 comunidadun conoces museos uncolombia aqui puedes encontrarlos labelurl programa visita circularun ; j : 207. Sim : 0.38587758; No similar. 
 felizlunes comenzamos semana celebrando dia mundial radio toda comunidadun 985unradio labelurl  ; j : 208. Sim : 0.5079809; Baja. 
 felizmartes comencemos dia musica playback cavito mendoza labelurl video unparatodos untelevision  ; j : 209. Sim : 0.50051427; Baja. 
