Modulo nnlm-es-dim128-with-normalization-2
Topicos : eafit pm hoy esperamos manana rector hoyeneafit be universidad paz auditorio partir juan 
 rt alcaldiademed escuchamos aun pod tomarte foto leekuanyewworldcityprize veni martes 18 octubre pi; j : 143. Sim : 0.36234593; No similar. 
 4 30 octubre habra cierres nocturnos av vegas construccion puente peatonal ver mas labelurl  ; j : 144. Sim : 0.44845346; No similar. 
 eafit uninoseafit invita ser parte serieclub cuatro ojos esperamos 25 julio falt labelurl  ; j : 145. Sim : 0.37792736; No similar. 
 alejandromllo sttmed saludos ingreso debe ser av regional aun realizan trabajos vegas  ; j : 146. Sim : 0.28755584; No similar. 
 rt biblioeafit hoy estudiantes egresados jubilados investigadores empleados eafit vamos compartir l; j : 147. Sim : 0.35759667; No similar. 
 rt bibliotecaur agua alegoria limpieza transformacion vida obra manantial vida eterna crai culturar; j : 148. Sim : 0.1930649; No similar. 
 27 31 marzo continua medida pico placa ambiental campus eafit ver mas labelurl  ; j : 149. Sim : 0.40327373; No similar. 
 recuerden manana primer foro regional fiscal general nacion nestor humberto martinez fiscaliacol  ; j : 150. Sim : 0.509717; Baja. 
 rt deloitteco millennials piden grito organizacion menos jerarquica existan rede trabajo colaborati; j : 151. Sim : 0.3605744; No similar. 
 rt crewpeligrosos hayfestival2017 concierto cierre 27 enero 700 pm eafit gratuito esperamos parcers; j : 152. Sim : 0.5262163; Baja. 
 apoyo podemos llegar 10 ahorro energia agua campus activa conciencia dale respiro labelurl  ; j : 153. Sim : 0.3470676; No similar. 
 lfarboledag findeter seguimos apoyando proyectos sostenibles eafit centro idiomas espacio innovacio; j : 154. Sim : 0.29280788; No similar. 
 instalacion taller cargo juan luis mejia rector eafit german jaramillo director ejecutivo  ; j : 155. Sim : 0.5824484; Baja. 
 incremento consumo heroina sera tema decisivo politicas anti drogas franciscocumsi1 cicadoea foroun; j : 156. Sim : 0.19861385; No similar. 
 hoy tarde vivir arte campus educaunisabana 40anos inauguracion edificio k hora 200 pm labelurl  ; j : 157. Sim : 0.61774164; Baja. 
 bitacora estan notas todas aventuras consiste libro juan luis mejia arango rector  ; j : 158. Sim : 0.49174112; No similar. 
 rt jkepeligrosos hoy 27 enero cierre hayfestival2017 estara concierto medellin crewpeligrosos 700 p; j : 159. Sim : 0.49254152; No similar. 
 rt biblioeafit hoy pierdan club lectores comic eafit entrada libre previa inscripcion labelurl ht  ; j : 160. Sim : 0.38857073; No similar. 
 rt orinoquiaceo inicia uniandes foro modelo red empresas sostenibles rede admonuniandes carcundi ba; j : 161. Sim : 0.15562235; No similar. 
 rt educaunisabana iniciamos jornada sustentacion trabajos grado maestria pedagogia estudiantes dian; j : 162. Sim : 0.44320253; No similar. 
 rt biblioeafit capacitacion base datos pivot universidad eafit jueves 9 febrero 8 11 be inscribase ; j : 163. Sim : 0.496752; No similar. 
 rt apgguzman aalloza inicia presentacion acerca nueva economia reputacion intangibles estrategicos ; j : 164. Sim : 0.43847543; No similar. 
 20 21 abril vivira eafit 4to congreso negociacion liderazgo gerenciar conozcan mas labelurl  ; j : 165. Sim : 0.5760355; Baja. 
 encuentro alcalde enrique penalosa estudiantes profesores empleados uniandes 16 marzo 1130 be label; j : 166. Sim : 0.4385401; No similar. 
 rt comfama 12 proximos iniciar catedra gerencia social papel justicia construccion paz eafit  ; j : 167. Sim : 0.6356645; Baja. 
 encuentro alcalde enrique penalosa estudiantes profesores empleados uniandes 16 marzo 1130 be label; j : 168. Sim : 0.4385401; No similar. 
 recuerden hoy habra servicio telefonia 500 1000 pm actualizacion servidores ver mas labelurl  ; j : 169. Sim : 0.46064225; No similar. 
 rt jrestrp compartiendo vicepresidentes talento humano distintas empresas educacion cuarta revoluci; j : 170. Sim : 0.2687908; No similar. 
 rt corresponsables lucy penaloza coor general pactocolombia rse convertido factor determinante gest; j : 171. Sim : 0.21869636; No similar. 
 rt cesazulce eltiempo unisabana alexandramonto buena conferencia sorprende nivel capacidad conectar; j : 172. Sim : 0.13323934; No similar. 
 vivo manana 16 mayo 900 be mas desaparecidos convenio busqueda personas desaparecida labelurl  ; j : 173. Sim : 0.40640482; No similar. 
 rt jrrodriguezgil rector unisabana obduliovp afirma estudiantes tunja plataformas digitales estruct; j : 174. Sim : 0.21498595; No similar. 
 rt encicla juan fernando ruiz eafit cuenta aprendizajes construccion encicla conjunto areametropol ; j : 175. Sim : 0.5253555; Baja. 
 rt uniandesderecho uniandes campeona regional elsa moot court competition on wto law 2017 labelurl ; j : 176. Sim : 0.37524602; No similar. 
 desarrollo sostenible cada pais debe tener dialogo identificar medidas profundizar josephestiglitz ; j : 177. Sim : 0.15904069; No similar. 
 nuevas sustancias mas importante saber consumiendo juan diego alvarez asesor minsaludcol foroungass; j : 178. Sim : 0.3057675; No similar. 
 rt educaunisabana doctor javier bermudez director maestria direccion instituciones educativas prese; j : 179. Sim : 0.4361297; No similar. 
 ejemplos cambriaeafit vemos estudiantes quieren crear empresas modelos sostenibilidadmanuel acevedo; j : 180. Sim : 0.22851832; No similar. 
 rt admonuniandes semanainternacional estudiantes mba esade uniandes clase contexto politico colombi; j : 181. Sim : 0.49531144; No similar. 
 estebanpalacio saludos estan exentos medida eafit mientras decreto municipal permita ver mas labelu; j : 182. Sim : 0.37407824; No similar. 
 hoy dia medios comunicacion perdido legitimidad perdido poder pedro vaca director ejecuti labelurl ; j : 183. Sim : 0.31414652; No similar. 
 primer punto decalogo sospoelaire caminar debe ser primera opcion movilizarse ver mas labelurl  ; j : 184. Sim : 0.269781; No similar. 
 rt educaunisabana listos hoy iniciamos nueva etapa 73 profesores laguajira maestriaenpedagogia unis; j : 185. Sim : 0.43525007; No similar. 
 gran beneficio paz pueblo rural urbano sienta tranquilidad seguridad general edoherrerab beneficios; j : 186. Sim : 0.3138816; No similar. 
 educacion reto tumaco entrevista luis enrique gil director sede tumaco labelurl via revistasemana  ; j : 187. Sim : 0.43096146; No similar. 
 fallecio monsenor javier echevarria obispo prelado opus dei gran canciller universidad sabana label; j : 188. Sim : 0.5228431; Baja. 
 construccion paz primera infancia serie 20 relatos visuales crecer paz gabriela carvaja labelurl  ; j : 189. Sim : 0.41610307; No similar. 
 cuba fidel castro fallecio isla atesoro bastion socialista occidente labelurl jcmvelandia via eltie; j : 190. Sim : 0.34300137; No similar. 
 rt comfama solo 21 poblacion mayor 65 anos pension colombia lacealames2016 elbid eafit  ; j : 191. Sim : 0.41724405; No similar. 
