Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa pais trabajadores colombia hoy economicos indicadores uso datos presidente tarde 
 martes 14 agosto 800am calle 35 725 bogota sede uso rueda prensa labelurl  ; j : 169. Sim : 0.35236943; No similar. 
 monimartinez llego festereopicnic 3 dias celebrar musica tener acto responsable necesario aportar s; j : 170. Sim : 0.22947372; No similar. 
 andrespardoa colombia segun bloombergnews gobierno quiere reducir impuesto inversionistas extranjer; j : 171. Sim : 0.4905086; No similar. 
 entra facebook live usofrenteobrero mira intervencion expresidente corte dr jorge ivan palacio labe; j : 172. Sim : 0.3507007; No similar. 
 informealcongreso bancorepublica deja claro politica monetaria aun debe ser prudente fin conti labe; j : 173. Sim : 0.319309; No similar. 
 hoy cumplen 20 anos desaparicion dirigente sindical alexander cardona sabana torres sol labelurl  ; j : 174. Sim : 0.5272632; Baja. 
 andrespardoa colombia minminas anuncia alzas moderadas tarifas servicio energia labelurl via eltiem; j : 175. Sim : 0.42858887; No similar. 
 workingpaper 1033 by juan esteban carranza alejandra gonzalezramirez and alex perez qualityofproduc; j : 176. Sim : 0.25934845; No similar. 
 hoy sesiono comision revisara tema recargos nocturnos personal tecnico supervisor profesional po la; j : 177. Sim : 0.42203435; No similar. 
 wilson291085 usofrenteobrero damagofe hectorvaca usoedwin ludwinggomez4 libardez18 cesarloza01 usom; j : 178. Sim : 0.01995879; No similar. 
 jairo90196426 usofrenteobrero damagofe hectorvaca usoedwin ludwinggomez4 libardez18 cesarloza01 uso; j : 179. Sim : 0.2113445; No similar. 
 frankyzayas usofrenteobrero ecopetrolsa union sindical obrera uso presente presente fuerzas camarad; j : 180. Sim : 0.48783517; No similar. 
 diegopintomi saludo fraterno companeros usofrenteobrero 95 anos lucha defensa trabajadores soberani; j : 181. Sim : 0.43326375; No similar. 
 kikem63 ecopetrolsa usofrenteobrero entonces sientense negociar senores administracion ecp cumplan ; j : 182. Sim : 0.5465512; Baja. 
 luisantonia fraterno saludo usofrenteobrero 95 anos lucha resistencia movilizacion defensa soberana; j : 183. Sim : 0.3077123; No similar. 
 castillasenador caluroso saludo usofrenteobrero 95 anos lucha resistencia movilizacion defensa hidr; j : 184. Sim : 0.4453814; No similar. 
 ncarolina11 pensionesunderecho apoya acebnacional uniamericas unebcolombia cutcolombia sedagaos mor; j : 185. Sim : 0.07775342; No similar. 
 usofrenteobrero rechaza despido companero dirigente sindical uso cartagena joaquin padilla ejec lab; j : 186. Sim : 0.39604816; No similar. 
 bsintraaval apoya acdac1 perenne lucha paso atras companers justicia social paz labelurl  ; j : 187. Sim : 0.25043762; No similar. 
 jorgeajurado personero municipal barrancabermeja deberia apegarse verdad descripciones haga cese im; j : 188. Sim : 0.2367729; No similar. 
 usofrenteobrero usofrenteobrero rechaza sistematica persecucion sindical viene siendo objeto compan; j : 189. Sim : 0.35799345; No similar. 
 bcavirtual bcavirtual uso protesta ecopetrol distorsion hace pliego peticiones palmaedwin usofrente; j : 190. Sim : 0.22200793; No similar. 
 portellatelesur hora union sindical obrera manifiesta falta garantias laborales contratistas usofre; j : 191. Sim : 0.45980582; No similar. 
 usofrenteobrero usofrenteobrero rechaza sistematica persecucion sindical viene siendo objeto compan; j : 192. Sim : 0.35799345; No similar. 
 gabocolombia76 abandono estatal vida digna barrancabermeja territorios crece protesta prensarural u; j : 193. Sim : 0.29724717; No similar. 
 usofrenteobrero sitios trabajo ecopetrolsa respira ambiente huelga pesar ilegal esquirolaje fomenta; j : 194. Sim : 0.41235882; No similar. 
 mjsarmientoa secretario general polodemocratico gustavotrianasu celebracion 95 aniversario union si; j : 195. Sim : 0.3967744; No similar. 
 jagove2788 decision quitarle tres ceros peso colombiano recae exclusivamente congreso rep labelurl ; j : 196. Sim : 0.21635032; No similar. 
 guidotoro decision quitarle tres ceros peso colombiano recae exclusivamente congreso republi labelu; j : 197. Sim : 0.21317883; No similar. 
 acantorg acantorg decision quitarle tres ceros peso colombiano recae exclusivamente congreso labelu; j : 198. Sim : 0.25139004; No similar. 
 aocampon usometa usofrenteobrero trabajadores meta laplanta apiay vit unen jornada protesta labelur; j : 199. Sim : 0.22532544; No similar. 
 aorgulloso uso usofrenteobrero insiste dialogo lograr acuerdo ecopetrolsa busca eficacia dialogo  ; j : 200. Sim : 0.21488039; No similar. 
 maurisano decision quitarle tres ceros peso colombiano recae exclusivamente congreso repu labelurl ; j : 201. Sim : 0.21815819; No similar. 
 alexwarff decision quitarle tres ceros peso colombiano recae exclusivamente congreso repu labelurl ; j : 202. Sim : 0.28042194; No similar. 
 polodemocratico polodemocratico saluda firma nueva convencion colectiva trabajo usofrenteobreroecop; j : 203. Sim : 0.20118795; No similar. 
 gustavotrianasu polodemocratico saluda firma nueva convencion colectiva trabajo usofrenteobreroecop; j : 204. Sim : 0.21189082; No similar. 
 jesusapecas dcoronell ecopetrolsa diria humoristas programa tv mas antiguo colombia uuuyyy echeverr; j : 205. Sim : 0.44717988; No similar. 
 omunoz79 decision quitarle tres ceros peso colombiano recae exclusivamente congreso republica q lab; j : 206. Sim : 0.37511224; No similar. 
 madrugada dia ayer firmamos empresa massy energy convencion colectiva trabajo esp labelurl  ; j : 207. Sim : 0.43811068; No similar. 
