Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa pais trabajadores colombia hoy economicos indicadores uso datos presidente tarde anos 
 janethnoticias barrancabermeja asi amanecimos banados catalizador ecopetrolsa joder refineria si ne; j : 154. Sim : 0.37704492; No similar. 
 valoraanalitik decidio dividendos pagaran dentro diez primeros dias cada mes acuerdo reglamenta  ; j : 155. Sim : 0.39590317; No similar. 
 spituto firma acuerdo convencional ecopetrolsa gloriosa usofrenteobrero acuerdo tendra vigencia 45 ; j : 156. Sim : 0.33333996; No similar. 
 mayor gloria basa haber fracasado sino habernos levantado cada vez caimos confucio labelurl  ; j : 157. Sim : 0.04502616; No similar. 
 reunion propuesta presidente donald trump xi jinping poner fin disputa comercial pod labelurl  ; j : 158. Sim : 0.2784666; No similar. 
 bla politica monetaria debe tener sano equilibrio objetivos disminuir gap producto consol labelurl ; j : 159. Sim : 0.26780063; No similar. 
 hoy dimos inicio negociacion empresa omia buscamos acordar garantias continuamos manana 9am labelur; j : 160. Sim : 0.50841564; Baja. 
 red contactos buena forma encontrar asociaciones empresariales grupos amigos buscan oportunidades i; j : 161. Sim : 0.33274812; No similar. 
 imassmco pleno lecciones empresariales uniandinos ravilapinto mhcolombia miguel largacha silvia esc; j : 162. Sim : 0.41628864; No similar. 
 industriallgu secretario regional industriall america latina caribe marino vani inicia reunion dire; j : 163. Sim : 0.43940192; No similar. 
 bdesecheverry participo 1er foro yacimientos convencionales retos desafios colombia ecopetrolsa uso; j : 164. Sim : 0.519728; Baja. 
 palmaedwin siendo 110 be punto acordar convencion colectiva trabajo mas 400 trabajadores confipetro; j : 165. Sim : 0.37642184; No similar. 
 justributaria bloggeros revistadinero si vende ecopetrolsa pierde ingresos habria buscar fuente qu ; j : 166. Sim : 0.3637808; No similar. 
 levantate temprano dale bienvenida nueva semana empezar buena energia creer cada dia labelurl  ; j : 167. Sim : 0.42549676; No similar. 
 andrespardoa colombia vallejo codirector emisor dice q posible tasa neutral bajado 2 real ahora  ; j : 168. Sim : 0.39944634; No similar. 
 martes 14 agosto 800am calle 35 725 bogota sede uso rueda prensa labelurl  ; j : 169. Sim : 0.36583346; No similar. 
 monimartinez llego festereopicnic 3 dias celebrar musica tener acto responsable necesario aportar s; j : 170. Sim : 0.25657776; No similar. 
 andrespardoa colombia segun bloombergnews gobierno quiere reducir impuesto inversionistas extranjer; j : 171. Sim : 0.48453394; No similar. 
 entra facebook live usofrenteobrero mira intervencion expresidente corte dr jorge ivan palacio labe; j : 172. Sim : 0.36780497; No similar. 
 informealcongreso bancorepublica deja claro politica monetaria aun debe ser prudente fin conti labe; j : 173. Sim : 0.34384793; No similar. 
 hoy cumplen 20 anos desaparicion dirigente sindical alexander cardona sabana torres sol labelurl  ; j : 174. Sim : 0.5837587; Baja. 
 andrespardoa colombia minminas anuncia alzas moderadas tarifas servicio energia labelurl via eltiem; j : 175. Sim : 0.45150253; No similar. 
 workingpaper 1033 by juan esteban carranza alejandra gonzalezramirez and alex perez qualityofproduc; j : 176. Sim : 0.2973576; No similar. 
 hoy sesiono comision revisara tema recargos nocturnos personal tecnico supervisor profesional po la; j : 177. Sim : 0.45008165; No similar. 
 wilson291085 usofrenteobrero damagofe hectorvaca usoedwin ludwinggomez4 libardez18 cesarloza01 usom; j : 178. Sim : 0.040073752; No similar. 
 jairo90196426 usofrenteobrero damagofe hectorvaca usoedwin ludwinggomez4 libardez18 cesarloza01 uso; j : 179. Sim : 0.2371277; No similar. 
 frankyzayas usofrenteobrero ecopetrolsa union sindical obrera uso presente presente fuerzas camarad; j : 180. Sim : 0.46582124; No similar. 
 diegopintomi saludo fraterno companeros usofrenteobrero 95 anos lucha defensa trabajadores soberani; j : 181. Sim : 0.481065; No similar. 
 kikem63 ecopetrolsa usofrenteobrero entonces sientense negociar senores administracion ecp cumplan ; j : 182. Sim : 0.5536524; Baja. 
 luisantonia fraterno saludo usofrenteobrero 95 anos lucha resistencia movilizacion defensa soberana; j : 183. Sim : 0.34257331; No similar. 
 castillasenador caluroso saludo usofrenteobrero 95 anos lucha resistencia movilizacion defensa hidr; j : 184. Sim : 0.4746735; No similar. 
 ncarolina11 pensionesunderecho apoya acebnacional uniamericas unebcolombia cutcolombia sedagaos mor; j : 185. Sim : 0.11115002; No similar. 
 usofrenteobrero rechaza despido companero dirigente sindical uso cartagena joaquin padilla ejec lab; j : 186. Sim : 0.42460674; No similar. 
 bsintraaval apoya acdac1 perenne lucha paso atras companers justicia social paz labelurl  ; j : 187. Sim : 0.28372726; No similar. 
 jorgeajurado personero municipal barrancabermeja deberia apegarse verdad descripciones haga cese im; j : 188. Sim : 0.23945364; No similar. 
 usofrenteobrero usofrenteobrero rechaza sistematica persecucion sindical viene siendo objeto compan; j : 189. Sim : 0.40342647; No similar. 
 bcavirtual bcavirtual uso protesta ecopetrol distorsion hace pliego peticiones palmaedwin usofrente; j : 190. Sim : 0.20948936; No similar. 
 portellatelesur hora union sindical obrera manifiesta falta garantias laborales contratistas usofre; j : 191. Sim : 0.466322; No similar. 
 usofrenteobrero usofrenteobrero rechaza sistematica persecucion sindical viene siendo objeto compan; j : 192. Sim : 0.40342647; No similar. 
 gabocolombia76 abandono estatal vida digna barrancabermeja territorios crece protesta prensarural u; j : 193. Sim : 0.30022806; No similar. 
 usofrenteobrero sitios trabajo ecopetrolsa respira ambiente huelga pesar ilegal esquirolaje fomenta; j : 194. Sim : 0.41545355; No similar. 
 mjsarmientoa secretario general polodemocratico gustavotrianasu celebracion 95 aniversario union si; j : 195. Sim : 0.43227333; No similar. 
 jagove2788 decision quitarle tres ceros peso colombiano recae exclusivamente congreso rep labelurl ; j : 196. Sim : 0.22462647; No similar. 
 guidotoro decision quitarle tres ceros peso colombiano recae exclusivamente congreso republi labelu; j : 197. Sim : 0.21004911; No similar. 
 acantorg acantorg decision quitarle tres ceros peso colombiano recae exclusivamente congreso labelu; j : 198. Sim : 0.25591984; No similar. 
 aocampon usometa usofrenteobrero trabajadores meta laplanta apiay vit unen jornada protesta labelur; j : 199. Sim : 0.2440005; No similar. 
 aorgulloso uso usofrenteobrero insiste dialogo lograr acuerdo ecopetrolsa busca eficacia dialogo  ; j : 200. Sim : 0.20351078; No similar. 
 maurisano decision quitarle tres ceros peso colombiano recae exclusivamente congreso repu labelurl ; j : 201. Sim : 0.21938838; No similar. 
 alexwarff decision quitarle tres ceros peso colombiano recae exclusivamente congreso repu labelurl ; j : 202. Sim : 0.28078154; No similar. 
 polodemocratico polodemocratico saluda firma nueva convencion colectiva trabajo usofrenteobreroecop; j : 203. Sim : 0.22699822; No similar. 
 gustavotrianasu polodemocratico saluda firma nueva convencion colectiva trabajo usofrenteobreroecop; j : 204. Sim : 0.23735893; No similar. 
 jesusapecas dcoronell ecopetrolsa diria humoristas programa tv mas antiguo colombia uuuyyy echeverr; j : 205. Sim : 0.45072642; No similar. 
 omunoz79 decision quitarle tres ceros peso colombiano recae exclusivamente congreso republica q lab; j : 206. Sim : 0.38576326; No similar. 
 madrugada dia ayer firmamos empresa massy energy convencion colectiva trabajo esp labelurl  ; j : 207. Sim : 0.48104993; No similar. 
