Modulo nnlm-es-dim128-with-normalization-2
Topicos : informe diario inconvenientes 2018 2017 eeuu ofrecemos disculpas 2016 2014 2015 inflacion 
 informe diario mayo 16 2017 eeuu produccion industrial expandio 10 mm abrilnlabelurl  ; j : 184. Sim : 0.5446989; Baja. 
 informe diario agosto 11 2014 exportaciones fob colombia disminuyeron 41 aa junio labelurl  ; j : 185. Sim : 0.46785533; No similar. 
 informe diario noviembre 29 2016 eeuu corrigen alza pib 3t16 32 ttnlabelurl  ; j : 186. Sim : 0.64357555; Baja. 
 informe diario enero 11 2018 eeuu precios productor cayeron 01 mm diciembrenlabelurl  ; j : 187. Sim : 0.48596415; No similar. 
 informe diario marzo 9 2016 eeuu caida ventas mayoristas enero refleja debilitamiento demanda label; j : 188. Sim : 0.5013781; Baja. 
 informe diario noviembre 12 2014 produccion industrial eurozona crecio 06 aa septiembre labelurl  ; j : 189. Sim : 0.46476048; No similar. 
 informe diario noviembre 25 2014 pib eeuu 3t14 crecio 39 segunda estimacion labelurl  ; j : 190. Sim : 0.58878154; Baja. 
 informe diario agosto 8 2016 balanza comercial china julio reflejo debil demanda globalnlabelurl  ; j : 191. Sim : 0.39373037; No similar. 
 informe diario junio 17 2014 inflacion eeuu 21 aa mayo superando expectativas labelurl  ; j : 192. Sim : 0.602214; Baja. 
 informe inflacion abril 10 2014 esperamos inflacion abril 035 mm 261 aa labelurl  ; j : 193. Sim : 0.43963027; No similar. 
 informe diario octubre 12 2017 eeuu precios productor aumentaron 26 aa septiembrenlabelurl  ; j : 194. Sim : 0.50896186; Baja. 
 informe diario mayo 23 2016 pmi manufacturero eeuu registro nivel mas bajo 2009 labelurl  ; j : 195. Sim : 0.45051637; No similar. 
 informe diario diciembre 22 2016 eeuu corrigen alza pib 3t16 35 ttnlabelurl  ; j : 196. Sim : 0.630342; Baja. 
 informe diario noviembre 22 2016 eeuu ventas vivienda usada alcanzan maximo 2007 labelurl  ; j : 197. Sim : 0.4883658; No similar. 
 informe diario septiembre 22 2015 icc eurozona cayo septiembre ubico 71 puntos labelurl  ; j : 198. Sim : 0.41189066; No similar. 
 monitor banquero central noviembre 26 2015 esperamos tasa politica monetaria aumente 575nlabelurl  ; j : 199. Sim : 0.3115082; No similar. 
 monitor banquero central enero 25 2017 esperamos reduccion tasa intervencion 25pbs 725nlabelurl  ; j : 200. Sim : 0.32995802; No similar. 
 monitor banquero central septiembre 24 2015 esperamos tasa politica monetaria mantenga 45 labelurl ; j : 201. Sim : 0.2800216; No similar. 
 informe semanal diciembre 15 2014 tormenta expectativa pib 3t14 esperamos crecimiento 47 labelurl  ; j : 202. Sim : 0.37060863; No similar. 
