Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa trabajadores uso hoy colombia pais anos presidente economicos ecopetrol indicadores 
 jlcdp usofrenteobrero trabajadores dan comer empresa empresa trabajadores produce inoculado ideolog; j : 142. Sim : 0.2786448; No similar. 
 pilarperalta pleno proceso negociacion ecopetrolsa toma represalias dirigentes usofrenteobrero impi; j : 143. Sim : 0.37049252; No similar. 
 palmaedwin campana mediatica acdac1 empezo dijeron iban huelga campana mediatica usofrenteobrer  ; j : 144. Sim : 0.31486285; No similar. 
 mlorozco78 jorgeajurado usofrenteobrero cutcolombia mintrabajocol adelante companeros n dcho consti; j : 145. Sim : 0.4895181; No similar. 
 gabocolombia76 abandono estatal vida digna barrancabermeja territorios crece protesta prensarural u; j : 146. Sim : 0.279107; No similar. 
 madrugada dia ayer firmamos empresa massy energy convencion colectiva trabajo esp labelurl  ; j : 147. Sim : 0.46895397; No similar. 
 organizacion sindical uso denuncia nefasta politica administrativa viene desarrollando gerencia gen; j : 148. Sim : 0.41084874; No similar. 
 ctcolombia crudoopina negociaciones usofrenteobrero ecopetrolsa solo deja garantias laborales sindi; j : 149. Sim : 0.55663997; Baja. 
 usometa logramos nueva convencion colectiva trabajo multinacional servicios petroleros halliburton ; j : 150. Sim : 0.30406666; No similar. 
 organizacion sindical uso denuncia nefasta politica administrativa viene desarrollando gerencia gen; j : 151. Sim : 0.41084874; No similar. 
 dr jorge ivan palacio expone huelga sector petrolero posible somosuso vivalauso labelurl  ; j : 152. Sim : 0.45653373; No similar. 
 dr jorge ivan palacio opina forma usofrenteobrero hace pedagogia derecho huelga labelurl  ; j : 153. Sim : 0.38987514; No similar. 
 alexwarff decision quitarle tres ceros peso colombiano recae exclusivamente congreso repu labelurl ; j : 154. Sim : 0.26929498; No similar. 
 guidotoro decision quitarle tres ceros peso colombiano recae exclusivamente congreso republi labelu; j : 155. Sim : 0.21533637; No similar. 
 hoy organizacion sindical cumple 96 anos existencia defendiendo patrimonio publico unidad c labelur; j : 156. Sim : 0.5289655; Baja. 
 mafsul buena noticia colombia ecopetrolsa usofrenteobrero cerraron acuerdo negociacion convencion c; j : 157. Sim : 0.5709925; Baja. 
 dr jorge ivan palacio expone huelga sector petrolero posible somosuso vivalauso labelurl  ; j : 158. Sim : 0.45653373; No similar. 
 jagove2788 decision quitarle tres ceros peso colombiano recae exclusivamente congreso rep labelurl ; j : 159. Sim : 0.2439589; No similar. 
 maurisano decision quitarle tres ceros peso colombiano recae exclusivamente congreso repu labelurl ; j : 160. Sim : 0.2167273; No similar. 
 blubucaramanga hoy inicia negociacion pliego laboral sindicato usofrenteobrero ecopetrol trabajador; j : 161. Sim : 0.52121514; Baja. 
 usofrenteobrero decimos trabajadores vit unica forma defender empresa puestos trabajo huel  ; j : 162. Sim : 0.45930228; No similar. 
 hoy organizacion sindical cumple 96 anos existencia defendiendo patrimonio publico unidad c labelur; j : 163. Sim : 0.5289655; Baja. 
 solidaridad pueblo palestino ayer masacrados 56 ninos mujeres hombres manos israelnour labelurl  ; j : 164. Sim : 0.39030096; No similar. 
 jesusapecas dcoronell ecopetrolsa diria humoristas programa tv mas antiguo colombia uuuyyy echeverr; j : 165. Sim : 0.49238878; No similar. 
 randresalvarez aidaavellae senadora adelante vamos defender soberania energetica patrimonio publico; j : 166. Sim : 0.4891271; No similar. 
 elimprudenteco decision quitarle tres ceros peso colombiano recae exclusivamente congreso republ la; j : 167. Sim : 0.2368078; No similar. 
 usofrenteobrero pesar acciones disposicion uso mesa negociaciones ecopetrolsa mantiene posicion int; j : 168. Sim : 0.47167888; No similar. 
 fabioariascut retweeted edwin palma egea palmaedwinnnya leyeron ataques medios pliego peticiones  ; j : 169. Sim : 0.20389682; No similar. 
 hoy sostuvimos reunion ecopetrolsa cenit abordar temas laborales trabajadores directos terceriza la; j : 170. Sim : 0.4621925; No similar. 
 palmaedwin hoy cumplen 100 anos explotacion petrolera paisnnsino huelga hizo usofrenteobrero l  ; j : 171. Sim : 0.44748724; No similar. 
 usocasabe usocasabe seguimiento cumplimiento actas extra convencionales trabajadors empresa seima s; j : 172. Sim : 0.074047975; No similar. 
 sinolvido aury presidente usofrenteobrero desaparecido tres dias posteriormente encontrado junto es; j : 173. Sim : 0.22926697; No similar. 
 dacamiloro nueva familia billet da continuidad concepto biodiversidad familia monedas come labelurl; j : 174. Sim : 0.12394931; No similar. 
 jerobledo buena noticia trabajadores petroleo pais firma convencion colectiva uso ecopetrol  ; j : 175. Sim : 0.6971682; Media. 
 union sindical obrera industria petroleo uso vincula conmemoracion 70 anos decla labelurl  ; j : 176. Sim : 0.5784166; Baja. 
 hoy sostuvimos reunion ecopetrolsa cenit abordar temas laborales trabajadores directos terceriza la; j : 177. Sim : 0.4621925; No similar. 
 bcavirtual bcavirtual comision fiscales avanza investigacion afloramientos pozo 158 palmaedwin usof; j : 178. Sim : 0.2620651; No similar. 
 cesarloza01 usofrenteobrero minminas mafsul ecopetrolsa sindicato hablando temas q superan laboral ; j : 179. Sim : 0.44151062; No similar. 
 javierarc35 decision quitarle tres ceros peso colombiano recae exclusivamente congreso re labelurl ; j : 180. Sim : 0.21923578; No similar. 
 jkvasquez01 usofrenteobrero ecopetrolsa obtiene excelentes dividendos clase obrera realidad hace ge; j : 181. Sim : 0.3027829; No similar. 
 omunoz79 decision quitarle tres ceros peso colombiano recae exclusivamente congreso republica q lab; j : 182. Sim : 0.4163225; No similar. 
 blubucaramanga usofrenteobrero confirma llego acuerdo levantar protesta laboral proyecto cira infan; j : 183. Sim : 0.16994642; No similar. 
 nikoa01 usofrenteobrero consejogremial ivanduque ecopetrolsa total apoyo ecopetrol empresa importan; j : 184. Sim : 0.5376989; Baja. 
 blubucaramanga usofrenteobrero confirma llego acuerdo levantar protesta laboral proyecto cira infan; j : 185. Sim : 0.16994642; No similar. 
 alunavil billet anterior familia saldran paulatinamente circulacion vez cumplan vida util labelurl ; j : 186. Sim : 0.42044643; No similar. 
 aorgulloso uso usofrenteobrero insiste dialogo lograr acuerdo ecopetrolsa busca eficacia dialogo  ; j : 187. Sim : 0.19009466; No similar. 
 minminas usofrenteobrero mafsul ecopetrolsa hoy reunion basada dialogo respeto oportunidades futur ; j : 188. Sim : 0.46450198; No similar. 
 bcavirtual bcavirtual tragedia ambiental fortuna declaran situacion calamidad publica desecheverry ; j : 189. Sim : 0.26292765; No similar. 
